,eid,NLL,EV,MSLL,BIC,Skew,Kurtosis
98,rh_G_orbital_thickness,-8447.379795221474,0.34193778568694233,-0.48054583318358496,-16869.845546428583,0.1468850865159559,0.3796599853985041
99,rh_G_pariet_inf-Angular_thickness,-9347.420607084034,0.27615451386444545,-0.5338149309766372,-18669.927170153704,-0.13907214139439814,1.1028650910715367
100,rh_G_pariet_inf-Supramar_thickness,-10124.731741700589,0.25207320658478716,-0.5920295968144793,-20224.549439386814,0.06729099407530044,0.9875333088669868
101,rh_G_parietal_sup_thickness,-9596.486655753855,0.27339041143921394,-0.650911617419161,-19168.059267493347,0.02107656806149123,1.4545820659948079
102,rh_G_postcentral_thickness,-4591.584761029096,0.208715260012038,-0.44641616352632774,-9158.255478043826,0.19575039120035362,0.46937123536322917
103,rh_G_precentral_thickness,-871.3880277554183,0.3969567203639236,-0.3476908842085982,-1717.862011496472,-1.0416642160351828,6.392055235284721
104,rh_G_precuneus_thickness,-10907.336528255542,0.29061014443955857,-0.656690247825036,-21789.75901249672,-0.14363917844309285,1.2919847218967164
105,rh_G_rectus_thickness,-2917.237721209352,0.22404925506852968,-0.6443291114205087,-5809.561398404339,0.07792461215350692,0.7421845564834668
106,rh_G_subcallosal_thickness,19277.18376480761,0.11426858620944169,-0.015260855342486928,38579.28157362959,0.3295549015061359,0.4906563092244743
107,rh_G_temp_sup-G_T_transv_thickness,1725.3210272566246,0.1717704458107967,-0.264390506412848,3475.556098527614,-0.056954342169625374,0.08794462584627061
108,rh_G_temp_sup-Lateral_thickness,-4310.764505586675,0.3013798208386852,-0.3912553780342383,-8596.614967158985,0.12088211495275243,0.3720414091238212
109,rh_G_temp_sup-Plan_polar_thickness,6744.988689104416,0.39650309275757734,-0.20267300094442875,13514.891422223198,-0.10777285244602915,0.6269675662551404
110,rh_G_temp_sup-Plan_tempo_thickness,-4104.2795088259345,0.16057066467984338,-0.5738232494171566,-8183.644973637504,0.3368815583407667,0.8267117044409078
111,rh_G_temporal_inf_thickness,-7806.595496083274,0.5876496614464788,-1.252124613070127,-15588.276948152183,-0.04969649491090835,0.33674855030254597
112,rh_G_temporal_middle_thickness,-9092.233180031744,0.4400571727570175,-0.5387250049249668,-18159.552316049125,0.17816796098205798,1.3577464692715413
113,rh_Lat_Fis-ant-Horizont_thickness,-1235.6300898389288,0.24198999103283847,-0.6289694630964471,-2446.346135663493,0.5339196012718516,1.1531419892890866
114,rh_Lat_Fis-ant-Vertical_thickness,2119.7341721759813,0.13138521817502513,-0.2748067909324659,4264.382388366327,0.8195907321134487,1.8517869378770302
115,rh_Lat_Fis-post_thickness,-12068.03430016443,0.24563906512007527,-0.34735821439019005,-24111.154556314497,0.24176802680287385,0.16977487837689895
116,rh_Pole_occipital_thickness,-11985.971674679819,0.462989751666266,-0.3183474915617848,-23947.029305345273,0.3894165974507573,1.3832504588937846
117,rh_Pole_temporal_thickness,-2058.4813616437436,0.4659725804943865,-0.5494029183113435,-4092.0486792731226,-0.17032721945106175,0.49802150036503307
118,rh_S_calcarine_thickness,-16182.020558201959,0.4677011085864604,-0.41338102169511665,-32339.127072389554,0.12313989191389971,0.5497231518981353
119,rh_S_central_thickness,-14311.84545059633,0.45197025072593877,-0.7087863536547294,-28598.776857178294,0.22063282251668342,0.9790564156294015
